"","RE","CC","OC","L","CI","A"
"23",0.00565965156539029,0.0138394714528584,0.00386066164049058,0.00339666867293303,0.00708940876875354,0.00127888134208165
"24",0.00659422244491178,0.0147888007219316,0.00413200142900984,0.00389913910791338,0.00725769996187317,0.000889422720548162
"25",0.00652229973717785,0.0163352558969487,0.00475274780344772,0.00445784034428866,0.00826825357697884,0.00189130200994376
"26",0.00681002323894025,0.0180059575876317,0.00448107853574691,0.00417843695205243,0.0104062004886702,0.00166854495469949
"27",0.00738573177848169,0.0188832895755869,0.00424833399094006,0.00535264156811389,0.0110262384256816,0.00250422985859558
"28",0.0075297134449946,0.0179661149299224,0.00401569532199788,0.00378744950289149,0.0100682176408995,0.00289453937132805
"29",0.00774572687483139,0.0192426365071813,0.00409322978793045,0.00434606631566581,0.0108570854416083,0.00183560646061003
"30",0.00673808419483089,0.0187236616256059,0.00362819918183202,0.00384329219667221,0.00731380555160014,0.00166854495469949
"31",0.00882653163497433,0.0169710648420676,0.00339584229995377,0.00322925436204614,0.00798740543181076,0.00211412613038784
"32",0.00695391767026932,0.0174882471562377,0.00312489255925351,0.00395499023735862,0.0057444580499302,0.000889422720548162
"33",0.00594711396186228,0.0160176499782433,0.00258342301788117,0.00283876826085525,0.00518478379777735,0.00122323185154372
"34",0.00537227608121027,0.0154226740729188,0.00246746830674263,0.00205841381033769,0.00473734937773942,0.00122323185154372
"35",0.0044389052553649,0.0143930312561733,0.00246746830674263,0.00194700175085198,0.00378744950289149,0.000500168838648563
"36",0.00336307609637622,0.0130102605897094,0.00223563763526271,0.00133453501611042,0.00311766586918092,0.000778186444904498
"37",0.00307639370981296,0.0128919122217084,0.00184948625850859,0.000333408359594303,0.00166854495469949,0.00127888134208165
"38",0.00257490730809178,0.011709940601272,0.00196530110366902,0.000444577840034278,0.00172422793372373,0.000778186444904498
"39",0.00193052718833187,0.0115525516400698,0.0018880882972061,0.000611363356320332,0.00105630847353834,0.00105630847353834
"40",0.00193052718833187,0.0119461153469647,0.00200391187245788,0.000722574572790988,0.00133453501611042,0.00116758654376288
"41",0.0012865830552365,0.011395211333296,0.00208114214371092,0.000166685419948662,0.000945047125542578,0.000611363356320332
"42",0.00178739083846738,0.0127341572300711,0.0023515398504921,0.00133453501611042,0.000666966876840104,0.000945047125542578
"43",0.00114354349784764,0.0143139143505052,0.00258342301788117,0.000388991013926285,0.00183560646061003,0.000945047125542578
"44",0.00100052542916293,0.0153433966156903,0.0028540861908606,0.000833802493913134,0.00150152114648034,0.00116758654376288
"45",0.00092902445073127,0.0164941334402184,0.00308619716143061,0.00105630847353834,0.00172422793372373,0.00172422793372373
"46",0.000786038600983284,0.0174086463033522,0.00327970341535806,0.00127888134208165,0.00155719156181301,0.00166854495469949
"47",0.00064307422111958,0.0174484451676052,0.00351200755078807,0.00222556335478667,0.00127888134208165,0.00161286616430766
"48",0.000500131303619509,0.0182052178737884,0.00347328287006582,0.00122323185154372,0.00111194541800542,0.00122323185154372
"49",0.000357209840966544,0.0192825796878008,0.00382191056090916,0.00161286616430766,0.00116758654376288,0.00111194541800542
"50",0.000428667890906961,0.0211233815326475,0.00397693249610553,0.00144585491757542,0.00127888134208165,0.00105630847353834
"51",0.000428667890906961,0.0216046942520145,0.00382191056090916,0.00105630847353834,0.00194700175085198,0.000833802493913134
"52",0.000428667890906961,0.0212035685144008,0.00370567493177116,0.00205841381033769,0.00150152114648034,0.000945047125542578
"53",0.000428667890906961,0.0205624283037395,0.00389941565587112,0.00161286616430766,0.00189130200994376,0.000889422720548162
